contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,days_to_expire,time_to_expire_years,underlyingPrice,moneyness
AMZN260213C00125000,2026-02-12 19:17:24+00:00,125.0,74.66,71.45,74.25,0.0,0.0,16.0,12,4.285160893554687,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.59147998046875
AMZN260213C00130000,2026-02-12 20:43:47+00:00,130.0,68.99,66.25,69.55,0.0,0.0,20.0,10,4.527348090820313,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.5302692119891828
AMZN260213C00135000,2026-02-12 20:12:44+00:00,135.0,63.72,62.1,64.25,0.0,0.0,9.0,28,3.6523446191406252,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.4735925745081018
AMZN260213C00140000,2026-02-12 20:23:26+00:00,140.0,58.78,56.6,59.25,0.0,0.0,4.0,10,3.3515641210937495,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.4209642682756696
AMZN260213C00145000,2026-02-12 18:42:25+00:00,145.0,54.54,51.85,54.25,0.0,0.0,1.0,4,3.058596103515625,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.371965500404095
AMZN260213C00150000,2026-02-12 20:14:26+00:00,150.0,49.12,47.9,48.25,0.0,0.0,29.0,28,1.0000000000000003e-05,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.3262333170572917
AMZN260213C00152500,2026-02-12 18:00:27+00:00,152.5,47.27,44.65,46.75,0.0,0.0,4.0,4,2.6328159179687503,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.3044917872694672
AMZN260213C00155000,2026-02-12 18:52:03+00:00,155.0,44.9,42.9,43.2,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.2834515971522178
AMZN260213C00160000,2026-02-13 14:42:30+00:00,160.0,37.95,37.6,37.95,-1.7999992,-4.5283,1.0,25,1.0000000000000003e-05,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.2433437347412108
AMZN260213C00165000,2026-02-12 20:15:57+00:00,165.0,33.97,32.75,33.3,0.0,0.0,4.0,9,1.0000000000000003e-05,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.2056666518702652
AMZN260213C00170000,2026-02-13 15:13:41+00:00,170.0,28.1,27.45,28.15,-0.44999886,-1.5761782,3.0,39,1.0000000000000003e-05,True,REGULAR,USD,call,2026-02-13,-1,-0.0027397260273972603,198.93499755859375,1.170205867991728
