Call_Last,Call_Bid,Call_Ask,Call_Vol,Call_OI,Strike,Put_Last,Put_Bid,Put_Ask,Put_Vol,Put_OI
71.85,67.85,72.25,0,7,120.00,0.01,0.01,0.01,0,387
48.30,62.85,67.20,0,4,125.00,0.01,0.01,0.01,0,358
60.89,57.85,61.85,0,17,130.00,0.01,0.01,0.01,0,149
54.03,52.85,57.20,0,5,135.00,0.01,0.01,0.01,0,"1,444"
49.38,47.85,52.20,0,47,140.00,0.01,0.01,0.01,0,"1,154"
48.00,42.85,47.00,1,15,145.00,0.01,0.01,0.01,1,"1,663"
40.95,41.75,46.10,0,5,146.00,0.01,0.01,0.01,0,367
37.60,40.75,45.25,0,7,147.00,0.01,0.01,0.01,0,725
36.45,39.75,44.20,0,9,148.00,0.01,0.01,0.01,0,498
42.10,38.75,43.25,0,6,149.00,0.01,0.01,0.01,342,849
39.97,37.85,42.20,0,29,150.00,0.01,0.01,0.01,1,"2,562"
36.80,38.05,39.80,1,17,152.50,0.01,0.01,0.01,90,"2,368"
35.70,35.70,35.85,1,24,155.00,0.01,0.01,0.01,12,"5,838"
29.03,33.15,33.50,0,64,157.50,0.01,0.01,0.01,4,"3,528"
29.83,30.55,31.40,1,139,160.00,0.01,0.01,0.01,634,"4,295"
26.10,27.95,28.70,0,81,162.50,0.01,0.00,0.01,296,"4,668"
25.76,25.55,26.15,1,154,165.00,0.01,0.01,0.01,"1,648","6,683"
22.50,22.95,23.70,5,411,167.50,0.01,0.01,0.01,"1,190","3,807"
21.13,20.50,21.15,21,"1,137",170.00,0.01,0.01,0.01,"3,380","8,361"
18.01,17.95,18.60,35,806,172.50,0.01,0.01,0.01,"1,315","4,046"
15.86,15.50,16.20,48,"1,300",175.00,0.01,0.01,0.01,790,"4,508"
11.40,12.80,13.85,45,"1,523",177.50,0.01,0.01,0.02,"2,030","4,130"
10.87,10.55,11.20,194,"2,053",180.00,0.02,0.02,0.03,"5,601","14,360"
7.70,7.95,8.50,198,"2,883",182.50,0.04,0.03,0.04,"7,933","8,228"
5.65,5.70,5.85,"1,832","5,366",185.00,0.07,0.06,0.07,"18,094","11,823"
3.26,3.20,3.35,"4,121","5,603",187.50,0.21,0.20,0.21,"33,882","9,458"
1.46,1.44,1.46,"49,335","16,298",190.00,0.83,0.81,0.83,"67,498","6,276"
0.41,0.41,0.42,"111,758","29,799",192.50,2.37,2.34,2.37,"18,823","2,808"
0.07,0.06,0.07,"121,558","24,796",195.00,4.50,4.50,4.50,"1,681",983
0.01,0.01,0.02,"29,923","11,924",197.50,7.00,6.70,7.30,269,"1,083"
0.01,0.01,0.02,"16,193","13,382",200.00,8.98,8.85,9.55,58,15
0.01,0.01,0.01,"3,754","5,193",202.50,11.90,11.45,12.00,14,0
0.01,0.01,0.01,"2,519","4,686",205.00,16.20,13.75,14.60,0,0
0.01,0.01,0.01,25,"1,476",207.50,17.95,16.20,17.20,0,0
0.01,0.01,0.01,3,"3,688",210.00,20.70,18.90,19.50,1,4
0.01,0.01,0.01,0,755,212.50,23.20,21.25,22.15,1,0
0.01,0.01,0.01,5,"1,214",215.00,24.00,23.85,24.50,0,0
0.01,0.01,0.01,1,"1,003",220.00,28.70,28.80,30.45,26,0
0.01,0.01,0.01,0,"2,225",225.00,35.75,33.90,34.60,1,0
0.01,0.01,0.01,0,476,230.00,-,37.80,41.20,0,0
0.01,0.01,0.01,0,740,235.00,-,42.50,46.20,0,0
0.01,0.01,0.01,1,6,240.00,-,47.65,51.20,0,0
0.01,0.01,0.01,0,1,245.00,-,52.80,56.20,0,0
0.01,0.01,0.01,0,432,250.00,-,57.50,61.20,0,0
0.02,0.01,0.01,0,1,255.00,-,63.00,66.20,0,0
0.01,0.01,0.01,1,1,260.00,-,67.60,71.20,0,0
0.01,0.01,0.01,0,105,265.00,73.05,73.10,76.20,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
