Call_Last,Call_Bid,Call_Ask,Call_Vol,Call_OI,Strike,Put_Last,Put_Bid,Put_Ask,Put_Vol,Put_OI
71.85,67.25,71.80,0,7,120.00,0.01,0.01,0.01,0,387
48.30,62.25,66.60,0,4,125.00,0.01,0.01,0.01,0,358
60.89,57.25,61.75,0,17,130.00,0.01,0.01,0.01,0,149
54.03,52.50,56.40,0,5,135.00,0.01,0.01,0.01,0,"1,444"
49.38,47.45,51.60,0,47,140.00,0.01,0.01,0.01,0,"1,154"
48.00,42.25,46.50,1,15,145.00,0.01,0.01,0.01,1,"1,663"
40.95,41.30,46.00,0,5,146.00,0.01,0.01,0.01,0,367
37.60,40.20,45.00,0,7,147.00,0.01,0.01,0.01,0,725
36.45,39.40,43.80,0,9,148.00,0.01,0.01,0.01,0,498
42.10,38.20,42.85,0,6,149.00,0.01,0.01,0.01,342,849
39.97,37.25,41.75,0,29,150.00,0.01,0.01,0.01,1,"2,562"
36.80,37.05,37.60,1,17,152.50,0.01,0.01,0.01,90,"2,368"
34.32,34.80,35.10,0,24,155.00,0.01,0.01,0.01,12,"5,838"
29.03,31.70,33.15,0,64,157.50,0.01,0.01,0.01,4,"3,528"
29.83,29.45,30.65,1,139,160.00,0.01,0.01,0.01,634,"4,295"
26.10,27.05,27.85,0,81,162.50,0.01,0.00,0.01,296,"4,668"
25.76,24.60,25.20,1,154,165.00,0.01,0.01,0.01,"1,494","6,683"
22.50,21.95,22.95,5,411,167.50,0.01,0.01,0.01,"1,090","3,807"
21.13,19.40,20.50,21,"1,137",170.00,0.01,0.01,0.01,"3,380","8,361"
17.05,17.10,17.80,19,806,172.50,0.01,0.01,0.01,"1,300","4,046"
15.00,14.60,15.25,36,"1,300",175.00,0.01,0.01,0.01,789,"4,508"
11.40,12.15,12.85,45,"1,523",177.50,0.01,0.01,0.02,"2,023","4,130"
9.99,9.70,10.30,180,"2,053",180.00,0.02,0.02,0.03,"5,459","14,360"
7.00,7.10,7.75,148,"2,883",182.50,0.04,0.03,0.04,"7,768","8,228"
5.00,5.00,5.05,"1,779","5,366",185.00,0.08,0.08,0.09,"17,215","11,823"
2.64,2.65,2.66,"3,670","5,603",187.50,0.34,0.34,0.35,"31,769","9,458"
0.95,0.95,0.96,"41,289","16,298",190.00,1.17,1.17,1.18,"65,835","6,276"
0.23,0.22,0.23,"102,662","29,799",192.50,2.94,2.91,2.94,"18,618","2,808"
0.04,0.04,0.05,"119,435","24,796",195.00,5.20,5.00,5.40,"1,674",983
0.02,0.01,0.02,"29,603","11,924",197.50,7.69,7.35,7.85,249,"1,083"
0.01,0.01,0.02,"16,089","13,382",200.00,8.98,9.75,10.45,58,15
0.01,0.01,0.01,"3,751","5,193",202.50,11.90,12.30,12.85,14,0
0.01,0.01,0.01,"2,519","4,686",205.00,16.20,14.15,16.05,0,0
0.01,0.01,0.01,25,"1,476",207.50,17.95,16.85,18.30,0,0
0.01,0.01,0.01,3,"3,688",210.00,20.70,18.85,21.30,1,4
0.01,0.01,0.01,0,755,212.50,23.20,22.45,22.70,1,0
0.01,0.01,0.01,5,"1,214",215.00,24.00,24.95,25.35,0,0
0.01,0.01,0.01,1,"1,003",220.00,28.70,29.90,30.20,26,0
0.01,0.01,0.01,0,"2,225",225.00,35.75,34.85,35.25,1,0
0.01,0.01,0.01,0,476,230.00,-,39.35,41.25,0,0
0.01,0.01,0.01,0,740,235.00,-,43.85,46.30,0,0
0.01,0.01,0.01,1,6,240.00,-,48.85,51.25,0,0
0.01,0.01,0.01,0,1,245.00,-,53.70,56.30,0,0
0.01,0.01,0.01,0,432,250.00,-,58.70,61.30,0,0
0.02,0.01,0.01,0,1,255.00,-,64.40,66.25,0,0
0.01,0.01,0.01,1,1,260.00,-,69.40,71.25,0,0
0.01,0.01,0.01,0,105,265.00,73.05,73.95,76.25,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
