Call_Last,Call_Bid,Call_Ask,Call_Vol,Call_OI,Strike,Put_Last,Put_Bid,Put_Ask,Put_Vol,Put_OI
134.68,139.25,143.50,0,3,50.00,0.01,0.01,0.01,0,2
121.87,133.15,138.55,0,14,55.00,0.01,0.01,0.01,0,6
129.02,128.15,133.55,0,42,60.00,0.01,0.01,0.01,0,28
123.95,123.15,128.55,0,46,65.00,0.01,0.01,0.01,0,13
119.35,118.15,123.55,0,20,70.00,0.01,0.01,0.01,0,134
114.80,113.20,118.55,0,7,75.00,0.01,0.01,0.01,0,463
108.65,108.15,113.55,0,42,80.00,0.01,0.01,0.01,0,"2,733"
104.77,103.15,108.55,0,97,85.00,0.01,0.01,0.01,0,"1,882"
102.45,98.25,103.55,2,19,90.00,0.01,0.01,0.01,3,"4,299"
95.43,93.25,98.55,50,2,95.00,0.01,0.01,0.01,0,"10,010"
92.57,88.20,93.55,10,17,100.00,0.01,0.01,0.01,0,"53,028"
84.45,83.20,88.55,0,87,105.00,0.01,0.01,0.01,0,"7,098"
80.95,78.20,83.55,6,66,110.00,0.01,0.01,0.01,3,"5,392"
74.01,73.20,78.55,0,45,115.00,0.01,0.01,0.01,1,"2,828"
70.57,68.25,73.55,5,205,120.00,0.01,0.01,0.01,3,"3,927"
67.45,63.20,68.55,2,26,125.00,0.01,0.01,0.01,0,"6,588"
62.62,58.20,63.55,4,132,130.00,0.01,0.01,0.01,0,"4,250"
56.58,53.20,58.55,3,112,135.00,0.01,0.01,0.01,194,"4,159"
50.40,50.65,51.70,45,"2,033",140.00,0.02,0.01,0.02,321,"5,485"
51.55,47.30,51.85,2,43,141.00,0.01,0.01,0.02,27,"3,972"
49.89,46.30,50.35,2,36,142.00,0.01,0.01,0.02,20,"1,845"
48.95,45.30,49.50,2,49,143.00,0.02,0.01,0.02,120,"2,139"
48.02,44.30,48.65,1,39,144.00,0.02,0.01,0.02,140,"1,321"
46.23,43.35,46.95,2,106,145.00,0.01,0.01,0.02,7,"13,430"
44.57,42.30,46.95,3,38,146.00,0.02,0.01,0.02,24,"4,136"
43.59,41.10,46.00,3,38,147.00,0.02,0.01,0.02,9,"1,571"
42.93,40.30,44.65,2,39,148.00,0.01,0.01,0.02,2,"2,320"
41.78,39.40,43.40,2,14,149.00,0.01,0.01,0.02,1,"2,784"
40.06,39.60,41.30,139,"1,843",150.00,0.02,0.01,0.02,161,"8,430"
37.46,38.05,39.95,2,27,152.50,0.03,0.02,0.03,26,"8,236"
34.21,33.35,36.80,7,281,155.00,0.03,0.02,0.03,505,"8,945"
31.30,33.05,34.55,0,47,157.50,0.04,0.03,0.04,68,"86,010"
32.13,30.70,31.30,2,746,160.00,0.05,0.04,0.05,791,"55,233"
27.60,27.30,29.60,0,204,162.50,0.06,0.06,0.07,769,"10,731"
24.85,25.75,26.25,65,797,165.00,0.08,0.08,0.09,"2,046","13,316"
21.36,23.25,24.40,0,325,167.50,0.10,0.10,0.11,"1,524","57,586"
20.90,20.60,21.05,38,"3,834",170.00,0.14,0.13,0.14,"3,519","16,966"
18.25,18.20,18.85,56,"2,018",172.50,0.16,0.15,0.17,"1,827","32,674"
14.88,15.90,16.40,69,"9,233",175.00,0.20,0.19,0.20,"2,852","17,155"
13.40,13.40,13.45,"1,096","43,125",177.50,0.27,0.26,0.27,"1,138","10,269"
11.10,11.05,11.15,"1,235","44,589",180.00,0.37,0.36,0.37,"5,090","27,839"
7.88,8.90,9.00,"1,555","51,192",182.50,0.53,0.52,0.53,"3,967","28,510"
6.59,6.50,6.60,"1,362","47,212",185.00,0.90,0.89,0.91,"10,951","22,131"
4.69,4.65,4.75,"3,633","12,965",187.50,1.45,1.44,1.46,"9,958","5,540"
3.08,3.05,3.10,"22,540","45,815",190.00,2.27,2.26,2.28,"24,645","11,824"
1.78,1.76,1.78,"28,313","31,466",192.50,3.58,3.55,3.65,"9,189","4,480"
0.94,0.92,0.93,"43,695","48,192",195.00,5.10,5.05,5.15,"2,937","4,800"
0.44,0.43,0.44,"11,194","30,096",197.50,8.05,7.05,7.15,489,"1,285"
0.19,0.18,0.19,"28,612","44,313",200.00,9.35,9.30,9.35,212,"1,181"
0.08,0.08,0.09,"2,849","28,231",202.50,13.49,11.45,12.15,102,171
0.04,0.03,0.04,"4,363","29,987",205.00,16.00,14.00,14.60,29,80
0.02,0.02,0.03,"1,330","8,722",207.50,18.60,16.30,17.05,0,2
0.02,0.01,0.02,"1,278","21,360",210.00,20.90,18.80,19.50,0,3
0.01,0.01,0.02,"1,656","4,074",212.50,23.25,21.35,22.00,0,0
0.02,0.01,0.02,107,"10,137",215.00,23.30,23.85,24.55,1,0
